Wall time,Step,Value
1551644591.71,157064,-1.5185387134552002
1551644592.39,157130,-1.5298340320587158
1551644633.563,157291,-1.5206421613693237
1551644634.508,157382,-1.5225765705108643
1551644635.008,157430,-1.521721601486206
1551644681.33,157623,-1.5214744806289673
1551644724.174,157927,-1.5194733142852783
1551644725.334,158041,-1.5147464275360107
1551644855.5649998,158984,-1.53153395652771
1551644896.972,159143,-1.5172641277313232
1551644899.742,159408,-1.5183866024017334
1551644941.663,159522,-1.5200958251953125
1551644984.736,159779,-1.514514684677124
1551645029.2140002,160202,-1.5211142301559448
1551645029.7489998,160252,-1.518947720527649
1551645075.234,160424,-1.676127314567566
1551645079.859,160461,-1.676127314567566
1551645141.5809999,160708,-1.5198227167129517
1551645186.276,161159,-1.5201640129089355
1551645186.556,161187,-1.5202181339263916
1551645227.759,161364,-1.5204370021820068
1551645313.059,161950,-1.5189708471298218
1551645313.309,161973,-1.521423101425171
1551645354.993,162142,-1.5235295295715332
1551645355.003,162143,-1.5213172435760498
1551645355.663,162206,-1.5203989744186401
1551645399.725,162583,-1.5219106674194336
1551645400.4499998,162654,-1.5221812725067139
1551645441.362,162789,-1.521056056022644
1551645485.436,163128,-1.5225495100021362
1551645487.201,163296,-1.5238550901412964
1551645615.303,163956,-1.5230443477630615
1551645702.6220002,164622,-1.5210548639297485
1551645704.6569998,164819,-1.5223252773284912
1551645745.721,164859,-1.523373007774353
1551645831.8,165463,-1.5221840143203735
1551645833.175,165597,-1.521332859992981
1551645875.355,165800,-1.5203635692596436
1551645877.36,165997,-1.519407868385315
1551645920.948,166298,-1.5227582454681396
1551645921.178,166321,-1.5193305015563965
1551645963.638,166513,-1.5193376541137695
1551646007.484,166870,-1.5218955278396606
1551646008.274,166947,-1.519160509109497
1551646050.3990002,167149,-1.521850347518921
1551646051.279,167234,-1.5233123302459717
1551646093.665,167396,-1.5208991765975952
1551646136.764,167644,-1.5195292234420776
1551646180.957,168037,-1.5219128131866455
1551646223.3500001,168180,-1.5220990180969238
1551646225.5049999,168389,-1.523730754852295
1551646268.077,168549,-1.518134355545044
1551646269.837,168720,-1.558178186416626
1551646312.615,168877,-1.5212862491607666
1551646358.675,169323,-1.5203994512557983
1551646401.99,169554,-1.5192464590072632
1551646446.4889998,169873,-1.5208227634429932
1551646488.3539999,169963,-1.5229812860488892
1551646490.649,170188,-1.519405484199524
1551646534.85,170495,-1.5199096202850342
1551646663.8270001,171212,-1.5226247310638428
1551646708.866,171620,-1.5231044292449951
1551646709.276,171659,-1.5202051401138306
1551646709.381,171669,-1.5208529233932495
1551646797.667,172231,-1.5239381790161133
1551646840.838,172416,-1.5196163654327393
1551646929.33,172972,-1.5229380130767822
1551646930.58,173093,-1.5209318399429321
1551646931.425,173174,-1.5193216800689697
1551646974.704,173295,-1.52266526222229
